genusSpecies,n
Adamussium colbecki,5
Alcyonium antarcticum,15
Arctarid sp.,1
Camptoplites sp.,3
Cnemidocarpa sp.,32
Colossendeis australis,2
Cuenotaster involutus,9
Dendrilla membranosa,18
Desmerestia menziesii,12
Diplasterias brucei,5
Echinopsolus acanthocola,3
Eurymera monticulosa,1
Eusirus bouvieri,3
Flabelligera cf. mundata,5
Flabelligera sp.,5
Glabraster antarctica,5
Glyptonotus antarcticus,1
Gondogeneia antarctica,10
Heterocucumis sp.,4
Heterocucumis steineni,18
Holothuroidea sp.,4
Hymenocladiopsis sp.,6
Iridaea cordata,1
Isotealia antarctica,14
Labidiaster annulatus,6
Margarella antarctica,5
Marseniopsis mollis,11
Metaleptamphopus pectinatus,3
Munnid isopod,3
Myriogramme mangini,3
Nacella concinna,44
Nematoflustra sp.,2
Neosmilaster georgianus,8
Nuttallochiton mirandus,2
Nymphon sp.,3
Odontaster validus,45
Oraderea sp.,3
Perknaster aurorae,6
Perknaster fuscus,14
Phorbas areolatus,5
Phyllophora antarctica,20
Polynoidae sp.,12
Porania antarctica,17
Promachocrinus kerguelensis,5
Prostebbingia brevicornis,5
Prostebbingia gracilis,3
Pycnogonid sp.,5
Schraderia gracilis,5
Sterechinus neumayeri,35
Terebellidae sp.,14
